sample,bark_rate
AGU01A,0.06
AGU01B,0.06
AGU02A,0.06
AGU02B,0.06
AGU03A,0.06
AGU03B,0.06
AGU04A,0.06
AGU04B,0.06
AGU13A,0.06
AGU14A,0.06
AGU14B,0.06
TRJ01C,0.06
TRJ01D,0.06
TRJ02C,0.06
TRJ10A,0.06
TRJ12A,0.06
TRJ12B,0.06
TRJ12C,0.06
TRJ14B,0.06
TRJ16A,0.06
TRJ16C,0.06
TRJ16B,0.06
TRJ19A,0.06
TRJ20A,0.06
TRJ20B,0.06
TRJ21A,0.06
TRJ21B,0.06
TRJ22A,0.06
TRJ23A,0.06
TRJ24A,0.06
TRJ25A,0.06
TRJ27A,0.06
TRJ28A,0.06
TRJ28B,0.06
TRJ29A,0.06
TRJ30A,0.06
TRJ33A,0.06
TRJ34B,0.06
TRJ35C,0.06
TRJ38A,0.06
TRJ38B,0.06
TRJ01B,0.06
