region,id,type,name,species,elevation,lat,lon,start,end,contributor
africa,alge001,Ring Width,Leid Mohamad Ouali,CDAT,1520,3627,406,1697,2005,Ramzi Touchan
africa,alge002,Ring Width,Pinus Nigra Reserve,PINI,1560,3627,406,1569,2005,Ramzi Touchan
africa,alge003,Ring Width,Tobji,PIHA,1380,3436,307,1854,2006,Ramzi Touchan
africa,egy001,Ring Width,Funerary boat near Senusret III Pyramid,CDLI,,2948,3112,-2220,-1890,P. I. Kuniholm C. B. Griggs M. W. Newton S. W. Manning
africa,egy002,Ring Width,"Ipi-ha-ishutef Coffin, Oriental Institute, Chicago",CDLI,,2952,3113,-2220,-2070,P. I. Kuniholm M. W. Newton C. B. Griggs S. W. Manning
africa,keny001,Ring Width,Ragati Forest Station  Nyeri District,VIKE,2010,-35,3703,1939,1994,D. Stahle J. Maingi M. Munyao
africa,keny002,Ring Width,Ragati Forest Station  Nyeri District,PRMA,2010,-35,3703,1935,1994,D. Stahle J. Maingi M. Munyao
africa,morc001,Ring Width,Tounfite,CDAT,2200,3225,-515,1253,1984,"C. W. Stockton, N. Chbouki, T. Harlan, D. Meko, R. Adams, M. F. G"
africa,morc002,Ring Width,Afechtal,CDAT,1700,3502,-450,1632,1984,"C. W. Stockton, N. Chbouki, T. Harlan, D. Meko, R. Adams, M. F. G"
africa,morc003,Ring Width,Ta'Adlount,CDAT,2200,3223,-536,1728,1984,"C. W. Stockton, N. Chbouki, T. Harlan, D. Meko, R. Adams, M. F. G"
africa,morc011,Ring Width,Ifrane,CDAT,1900,3327,-502,1549,1984,N. Chbouki C. W. Stockton D. Meko T. Harlan R. Adams
africa,morc012,Ring Width,Tissouka,CDAT,1700,3507,-506,1748,1984,N. Chbouki C. W. Stockton D. Meko T. Harlan R. Adams
africa,morc013,Ring Width,Tazzeka,CDAT,1900,3405,-411,1845,1984,N. Chbouki C. W. Stockton D. Meko T. Harlan R. Adams
africa,morc014,Ring Width,Col du Zad,CDAT,2200,3301,-504,984,1984,C. W. Stockton N. Chbouki D. Meko R. Adams T. Harlan M. Glu
africa,morc015,Ring Width,Addeldal,PIPI,900,3554,528,1843,2004,Ramzi Touchan
africa,morc016,Ring Width,Tizi u Treten,CDAT,1900,3228,501,1490,2003,Ramzi Touchan
africa,morc017,Ring Width,Tadlounte Recollection,CDAT,1920,3222,534,1696,2004,Ramzi Touchan Chuck Stockton
africa,morc018,Ring Width,Atlas Mountains CO,CDAT,2200,3258,-504,977,2001,J. Esper D. Frank H. Gartner A. Verstege D. Nievergelt
africa,morc019,Ring Width,Atlas Mountains CS,CDAT,2200,3258,-504,1776,2001,J. Esper D. Frank H. Gartner A. Verstege D. Nievergelt
africa,morc019e,Earlywood Width,Atlas Mountains CS,CDAT,2200,3258,-504,1776,2001,J. Esper D. Frank H. Gartner A. Verstege D. Nievergelt
