lat,lon,region,species,elevation,start,end,source,name
36.27,4.06,africa,CDAT,1520,1697,2005,ITRDB,alge001
36.27,4.06,africa,PINI,1560,1569,2005,ITRDB,alge002
34.36,3.07,africa,PIHA,1380,1854,2006,ITRDB,alge003
29.48,31.12,africa,CDLI,,-2220,-1890,ITRDB,egy001
29.52,31.13,africa,CDLI,,-2220,-2070,ITRDB,egy002
-0.35,37.03,africa,VIKE,2010,1939,1994,ITRDB,keny001
-0.35,37.03,africa,PRMA,2010,1935,1994,ITRDB,keny002
32.25,-5.15,africa,CDAT,2200,1253,1984,ITRDB,morc001
35.02,-4.5,africa,CDAT,1700,1632,1984,ITRDB,morc002
32.23,-5.36,africa,CDAT,2200,1728,1984,ITRDB,morc003
33.27,-5.02,africa,CDAT,1900,1549,1984,ITRDB,morc011
35.07,-5.06,africa,CDAT,1700,1748,1984,ITRDB,morc012
34.05,-4.11,africa,CDAT,1900,1845,1984,ITRDB,morc013
33.01,-5.04,africa,CDAT,2200,984,1984,ITRDB,morc014
35.54,5.28,africa,PIPI,900,1843,2004,ITRDB,morc015
32.28,5.01,africa,CDAT,1900,1490,2003,ITRDB,morc016
32.22,5.34,africa,CDAT,1920,1696,2004,ITRDB,morc017
32.58,-5.04,africa,CDAT,2200,977,2001,ITRDB,morc018
32.58,-5.04,africa,CDAT,2200,1776,2001,ITRDB,morc019
33.24,-5.1,africa,CDAT,1830,1784,2001,ITRDB,morc020
32.32,-4.55,africa,CDAT,2200,1021,2001,ITRDB,morc021
32.25,-5.2,africa,CDAT,2100,1271,2001,ITRDB,morc022
33.06,-4.54,africa,CDAT,2180,987,2001,ITRDB,morc023
-32.24,19.13,africa,WICE,3990,1564,1976,ITRDB,safr001
36.29,8.18,africa,QUCA,700,1684,2003,ITRDB,tuni001
36.14,8.26,africa,PIHA,950,1890,2003,ITRDB,tuni002
35.51,9.18,africa,PIHA,800,1874,2003,ITRDB,tuni003
-18.4,26.41,africa,CABU,1085,1846,1994,ITRDB,zimb001
-18.2,27.4,africa,PTAN,1120,1796,1997,ITRDB,zimb002
-18.33,26.56,africa,PTAN,1100,1870,1996,ITRDB,zimb003
27.35,90.39,asia,TSDU,,1294,2003,ITRDB,bt001
27.4,90.44,asia,TSDU,,1454,2003,ITRDB,bt002
27.42,90.46,asia,TSDU,,1520,2003,ITRDB,bt003
27.42,90.41,asia,TSDU,,1481,2003,ITRDB,bt004
27.27,90.09,asia,TSDU,,1582,2006,ITRDB,bt005
27.28,89.3,asia,PCSP,,1400,2005,ITRDB,bt006
27.28,89.31,asia,PCSP,,1611,2005,ITRDB,bt007
27.35,90.39,asia,PCSP,,1280,2003,ITRDB,bt008
27.25,90.58,asia,PCSP,,1457,2002,ITRDB,bt009
27.15,89.23,asia,PCSP,,1484,2005,ITRDB,bt010
27.27,90.09,asia,PCSP,,1456,2005,ITRDB,bt011
27.27,90.42,asia,PIWA,,1625,2003,ITRDB,bt012
27.15,89.23,asia,PIWA,,1741,2005,ITRDB,bt013
27.11,91.12,asia,PIRO,,1650,2003,ITRDB,bt014
27.29,91.11,asia,PIRO,,1777,2003,ITRDB,bt015
27.59,89.45,asia,LAGR,,1644,2006,ITRDB,bt016
27.23,89.19,asia,LAGR,,1620,2005,ITRDB,bt017
27.57,89.45,asia,JURE,,1453,2006,ITRDB,bt018
27.55,89.45,asia,JURE,,1660,2006,ITRDB,bt019
27.27,90.09,asia,ABDE,,1720,2006,ITRDB,bt020
27.25,90.58,asia,PCSP,3268,1280,2013,ITRDB,bt021
34.29,110.05,asia,PIAM,2060,1540,1989,ITRDB,chin004
37,98.3,asia,JUPR,3800,840,1993,ITRDB,chin005
36,98,asia,JUPR,3800,159,1993,ITRDB,chin006
42.53,82.08,asia,PCSH,2763,1690,2004,ITRDB,chin008
43.04,82.09,asia,PCSH,2308,1605,2004,ITRDB,chin009
42.48,81.43,asia,PCSH,2593,1686,2004,ITRDB,chin010
43.09,82.52,asia,PCSH,1499,1634,2004,ITRDB,chin011
43.05,82.41,asia,PCSH,1710,1721,2004,ITRDB,chin012
43.43,86.43,asia,PCSH,1865,1785,2004,ITRDB,chin013
43.53,88.07,asia,PCSH,1913,1694,2004,ITRDB,chin014
43.47,86.18,asia,PCSH,1878,1706,2004,ITRDB,chin015
31.47,101.55,asia,CUCH,2500,1575,2007,ITRDB,chin016
28.54,99.45,asia,JUTI,3980,1452,2007,ITRDB,chin017
29.17,100.05,asia,ABFO,4150,1540,2006,ITRDB,chin018
29.09,99.56,asia,ABFO,3530,1509,2006,ITRDB,chin019
30.14,100.16,asia,JUTI,4050,1306,2007,ITRDB,chin020
28.59,99.56,asia,ABFO,3750,1380,2007,ITRDB,chin021
30.52,100.17,asia,PCLI,3300,1663,2007,ITRDB,chin022
30,100.52,asia,PCLI,4020,1715,2007,ITRDB,chin023
28.22,99.02,asia,JUTI,4260,1628,2007,ITRDB,chin024
27.22,99.16,asia,ABFO,3050,1483,2007,ITRDB,chin025
27.37,99.48,asia,ABFO,3500,1516,2007,ITRDB,chin026
27.2,99.18,asia,ABFO,3040,1348,2007,ITRDB,chin027
27.2,99.18,asia,ABFO,3060,1348,2007,ITRDB,chin028
43.51,93.18,asia,LASI,2810,1571,2002,ITRDB,chin029
43.5,93.23,asia,LASI,2840,1608,2002,ITRDB,chin030
43.49,93.2,asia,LASI,2480,1790,2002,ITRDB,chin031
43.49,93.18,asia,LASI,2380,1807,2002,ITRDB,chin032
43.46,87.55,asia,PCSH,1970,1653,2002,ITRDB,chin033
43.48,88.01,asia,PCSH,2080,1653,2002,ITRDB,chin034
43.36,90.13,asia,PCTI,2250,1715,2002,ITRDB,chin035
43.36,90.06,asia,PCTI,2170,1829,2002,ITRDB,chin036
27.35,99.21,asia,PCLI,3240,1429,2005,ITRDB,chin037
27.35,99.17,asia,TSDU,3150,1542,2005,ITRDB,chin038
28.02,99.01,asia,ABRC,3200,1489,2005,ITRDB,chin039
28.02,98.59,asia,TSDU,3100,1393,2005,ITRDB,chin040
27.53,98.24,asia,TSDU,3150,1530,2005,ITRDB,chin041
31.57,98.52,asia,PCLI,,1519,1996,ITRDB,chin042
29.18,91.58,asia,JUTI,,1217,1998,ITRDB,chin043
29.04,93.57,asia,JUTI,,1047,1993,ITRDB,chin044
29.37,94.4,asia,JUTI,,1568,1993,ITRDB,chin045
31.07,97.02,asia,JUTI,,449,2004,ITRDB,chin046
31.07,97.02,asia,PCLI,,1406,1994,ITRDB,chin047
30.18,91.31,asia,JUTI,,1080,1998,ITRDB,chin048
31.14,96.29,asia,PCLI,,1547,1994,ITRDB,chin049
37.28,97.14,asia,JUPR,,843,2001,ITRDB,chin050
37.28,97.13,asia,JUPR,,828,2001,ITRDB,chin051
37.27,97.32,asia,JUPR,,404,2002,ITRDB,chin052
37.26,98.03,asia,JUPR,,451,2002,ITRDB,chin053
37.27,97.47,asia,JUPR,,711,2003,ITRDB,chin054
37.31,97.03,asia,JUPR,,1237,2002,ITRDB,chin055
34.28,110.05,asia,PIAM,,1458,2005,ITRDB,chin056
34.28,110.05,asia,PIAM,,1512,2005,ITRDB,chin057
34.28,110.05,asia,PIAM,,1359,2005,ITRDB,chin058
33.48,96.08,asia,JUTI,,1480,2002,ITRDB,chin059
37.19,98.24,asia,JUPR,,943,2003,ITRDB,chin060
37.02,98.38,asia,JUPR,,857,2003,ITRDB,chin061
37.02,98.4,asia,JUPR,,845,2001,ITRDB,chin062
36.45,98.13,asia,JUPR,,681,2001,ITRDB,chin063
36.41,98.25,asia,JUPR,,900,2001,ITRDB,chin064
32.4,95.43,asia,JUTI,,1290,2006,ITRDB,chin065
33.43,96.17,asia,JUTI,,1374,2002,ITRDB,chin066
37.15,97.45,asia,JUPR,,-2637,2011,ITRDB,chin067
36.14,98.21,asia,JUPR,,933,2011,ITRDB,chin068
38.34,99.2,asia,JUPR,,56,2011,ITRDB,chin070
38.12,99.52,asia,JUPR,,432,2008,ITRDB,chin071
33.44,112.14,asia,PITB,1675,1774,2007,ITRDB,chin072
28.36,119.27,asia,PIMA,435,1846,2013,ITRDB,chin073
31,97,asia,JUTI,4450,128,2010,ITRDB,chin074
29.09,99.57,asia,ABFO,3600,1498,2013,ITRDB,chin075
41.43,43.29,asia,PISY,1850,1754,2006,ITRDB,geor002
41.43,43.3,asia,PISY,1950,1781,2006,ITRDB,geor003
41.47,43.29,asia,PISY,1450,1776,2006,ITRDB,geor004
41.48,43.27,asia,PISY,1100,1773,2006,ITRDB,geor005
41.37,42.43,asia,PISY,2000,1833,2006,ITRDB,geor006
41.37,42.31,asia,ABAL,1930,1676,2006,ITRDB,geor007
41.46,43.31,asia,PISY,1850,1767,2006,ITRDB,geor008
41.35,42.45,asia,PISY,1900,1882,2006,ITRDB,geor009
41.49,42.51,asia,PISY,2010,1813,2006,ITRDB,geor010
